"protocol","title","description","public","join_address","info_address","picture","keywords"
"email","Modern Crypto: Messaging",,"TRUE",,"https://moderncrypto.org",,
"email","Modern Crypto: Curves",,"TRUE",,"https://moderncrypto.org",,
"xmpp","ChatSecure",,"TRUE",,,,
"email","Tor UX List",,"TRUE","ux@lists.torproject.org",,,
"email","The Guardian Project List",,"TRUE","guardian-dev@lists.mayfirst.org",,,
"email","Liberation Tech",,"TRUE","liberationtech@lists.stanford.edu",,,
"email","Gimp UX",,"TRUE","gimp-gui-list@gnome.org",,,
"email","VLC Android Developers",,"TRUE","android@videolan.org","http://videolan.org",,
"email","Open Whisper Systems",,"TRUE","whispersystems@lists.riseup.net",,,
"irc","Open Source Design",,TRUE,"irc.freenode.net/freenode",,,
"irc","Tor",,TRUE,"irc.oftc.net/tor",,,
"irc","Tor Developers",,TRUE,"irc.oftc.net/tor-dev",,,
"irc","OONI",,TRUE,"irc.oftc.net/ooni",,,
"irc","Qubes OS",,TRUE,"irc.freenode.net/qubes",,,
"irc","Mailpile",,TRUE,"irc.freenode.net/mailpile",,,
"irc","Open Knowledge Foundation",,TRUE,"irc.freenode.net/okfn",,,
"irc","Counterantidisintermediation",,TRUE,"irc.freenode.net/end2end",,,
